time;fx;fy;fz
0;2,07209934;1,749807806;-10,68121192
0,001;2,07209934;2,394390875;-10,68121192
0,002;2,07209934;2,07209934;-10,68121192
0,003;2,716682409;1,749807806;-10,03662885
0,004;2,716682409;2,394390875;-9,392045777
0,005;2,394390875;1,749807806;-10,68121192
0,006;2,07209934;2,07209934;-9,392045777
0,007;2,07209934;2,07209934;-9,392045777
0,008;2,394390875;2,716682409;-10,03662885
0,009;2,07209934;2,07209934;-10,68121192
0,01;2,07209934;1,749807806;-10,68121192
0,011;2,394390875;1,749807806;-11,32579499
0,012;2,07209934;2,07209934;-10,68121192
0,013;1,749807806;1,749807806;-10,03662885
0,014;1,749807806;2,716682409;-10,03662885
0,015;2,716682409;2,07209934;-10,03662885
0,016;2,07209934;2,716682409;-11,32579499
0,017;2,07209934;2,07209934;-10,68121192
0,018;2,07209934;2,07209934;-10,68121192
0,019;2,394390875;2,394390875;-10,68121192
0,02;1,749807806;2,07209934;-11,32579499
0,021;2,716682409;2,394390875;-10,03662885
0,022;2,07209934;2,07209934;-9,392045777
0,023;2,07209934;2,07209934;-9,392045777
0,024;2,07209934;2,716682409;-10,68121192
0,025;2,394390875;1,749807806;-10,03662885
0,026;2,716682409;1,749807806;-10,68121192
0,027;2,394390875;2,394390875;-10,68121192
0,028;2,394390875;2,394390875;-11,32579499
0,029;2,07209934;2,394390875;-10,68121192
0,03;2,394390875;1,749807806;-10,68121192
0,031;2,394390875;2,07209934;-10,03662885
0,032;2,394390875;1,749807806;-11,32579499
0,033;2,07209934;1,749807806;-10,68121192
0,034;1,749807806;2,07209934;-10,68121192
0,035;2,07209934;2,716682409;-10,68121192
0,036;2,394390875;2,394390875;-10,68121192
0,037;2,394390875;2,07209934;-10,03662885
0,038;2,394390875;1,427516272;-10,68121192
0,039;2,07209934;2,07209934;-10,68121192
0,04;1,749807806;2,394390875;-10,03662885
0,041;2,394390875;2,07209934;-9,392045777
0,042;2,07209934;1,749807806;-9,392045777
0,043;2,716682409;2,07209934;-10,03662885
0,044;2,394390875;2,716682409;-10,68121192
0,045;2,394390875;2,394390875;-11,32579499
0,046;2,394390875;2,394390875;-10,68121192
0,047;2,394390875;2,07209934;-10,03662885
0,048;2,716682409;2,07209934;-11,32579499
0,049;2,07209934;2,394390875;-10,68121192
0,05;2,716682409;2,394390875;-10,68121192
0,051;2,716682409;1,749807806;-10,68121192
0,052;2,394390875;2,07209934;-10,68121192
0,053;2,07209934;1,749807806;-10,68121192
0,054;2,07209934;2,07209934;-10,03662885
0,055;2,394390875;2,07209934;-10,03662885
0,056;3,038973943;2,07209934;-10,03662885
0,057;2,07209934;2,07209934;-10,03662885
0,058;2,716682409;2,394390875;-10,03662885
0,059;2,07209934;2,394390875;-10,68121192
0,06;2,07209934;2,07209934;-10,03662885
0,061;2,394390875;1,749807806;-10,68121192
0,062;2,394390875;2,716682409;-10,03662885
0,063;2,07209934;2,394390875;-10,03662885
0,064;2,07209934;1,749807806;-10,68121192
0,065;2,716682409;2,07209934;-11,97037806
0,066;2,07209934;2,07209934;-10,03662885
0,067;2,394390875;2,394390875;-10,03662885
0,068;2,07209934;2,394390875;-10,03662885
0,069;3,038973943;1,749807806;-9,392045777
0,07;2,07209934;1,749807806;-9,392045777
0,071;2,07209934;2,394390875;-10,03662885
0,072;2,716682409;2,394390875;-10,03662885
0,073;2,394390875;1,749807806;-10,03662885
0,074;2,394390875;2,07209934;-10,68121192
0,075;2,394390875;2,07209934;-10,68121192
0,076;2,07209934;1,749807806;-9,392045777
0,077;2,394390875;1,749807806;-11,32579499
0,078;2,716682409;1,749807806;-11,32579499
0,079;2,394390875;2,07209934;-10,03662885
0,08;2,394390875;2,394390875;-10,68121192
0,081;2,716682409;2,07209934;-10,68121192
0,082;2,716682409;1,749807806;-10,68121192
0,083;2,394390875;1,427516272;-9,392045777
0,084;2,394390875;2,07209934;-10,03662885
0,085;1,749807806;2,07209934;-11,32579499
0,086;2,07209934;1,749807806;-10,03662885
0,087;2,394390875;2,07209934;-10,68121192
0,088;2,07209934;1,749807806;-10,03662885
0,089;2,394390875;1,749807806;-10,68121192
0,09;2,394390875;2,07209934;-9,392045777
0,091;2,394390875;2,07209934;-11,32579499
0,092;2,394390875;2,394390875;-10,03662885
0,093;2,394390875;1,749807806;-9,392045777
0,094;2,394390875;2,394390875;-11,32579499
0,095;2,716682409;2,07209934;-10,68121192
0,096;2,394390875;1,749807806;-10,68121192
0,097;2,394390875;1,749807806;-10,03662885
0,098;2,716682409;1,749807806;-11,32579499
0,099;2,394390875;2,394390875;-10,68121192
0,1;2,394390875;2,394390875;-10,03662885
0,101;2,394390875;2,394390875;-10,68121192
0,102;2,07209934;2,394390875;-10,03662885
0,103;2,716682409;2,07209934;-10,03662885
0,104;2,394390875;2,07209934;-9,392045777
0,105;2,394390875;2,07209934;-9,392045777
0,106;2,716682409;1,749807806;-10,03662885
0,107;2,394390875;2,394390875;-10,68121192
0,108;2,07209934;2,394390875;-9,392045777
0,109;2,394390875;2,394390875;-10,68121192
0,11;2,394390875;1,749807806;-9,392045777
0,111;1,749807806;2,07209934;-10,68121192
0,112;2,07209934;2,07209934;-11,32579499
0,113;2,716682409;2,07209934;-10,68121192
0,114;1,749807806;2,07209934;-10,68121192
0,115;2,394390875;2,07209934;-11,32579499
0,116;2,716682409;2,07209934;-10,68121192
0,117;2,394390875;2,07209934;-11,32579499
0,118;1,749807806;2,07209934;-11,32579499
0,119;2,07209934;1,749807806;-10,68121192
0,12;2,394390875;2,07209934;-9,392045777
0,121;2,394390875;1,749807806;-10,68121192
0,122;1,749807806;1,749807806;-10,68121192
0,123;2,394390875;1,427516272;-10,03662885
0,124;3,038973943;2,394390875;-10,03662885
0,125;2,394390875;2,07209934;-9,392045777
0,126;2,394390875;2,07209934;-10,03662885
0,127;2,394390875;1,749807806;-9,392045777
0,128;3,038973943;1,749807806;-10,03662885
0,129;2,394390875;2,07209934;-10,03662885
0,13;1,749807806;2,07209934;-10,03662885
0,131;2,07209934;2,07209934;-11,32579499
0,132;2,394390875;2,07209934;-10,68121192
0,133;2,07209934;2,394390875;-11,32579499
0,134;2,716682409;2,394390875;-10,68121192
0,135;2,394390875;1,749807806;-11,32579499
0,136;2,07209934;2,07209934;-10,68121192
0,137;2,394390875;2,07209934;-10,03662885
0,138;2,716682409;2,394390875;-10,68121192
0,139;2,716682409;2,07209934;-10,03662885
0,14;1,749807806;2,07209934;-10,68121192
0,141;2,394390875;1,749807806;-10,68121192
0,142;2,394390875;2,07209934;-10,68121192
0,143;2,394390875;2,07209934;-9,392045777
0,144;2,716682409;2,07209934;-10,03662885
0,145;2,716682409;1,749807806;-11,32579499
0,146;2,716682409;2,394390875;-10,68121192
0,147;2,394390875;2,394390875;-10,68121192
0,148;2,394390875;1,749807806;-10,68121192
0,149;2,394390875;2,394390875;-10,03662885
0,15;2,716682409;2,394390875;-11,32579499
0,151;2,394390875;2,07209934;-10,03662885
0,152;2,07209934;2,07209934;-10,03662885
0,153;2,716682409;2,394390875;-11,97037806
0,154;2,07209934;2,07209934;-10,68121192
0,155;2,716682409;2,07209934;-9,392045777
0,156;2,394390875;2,394390875;-10,03662885
0,157;2,07209934;1,749807806;-11,32579499
0,158;2,07209934;2,07209934;-9,392045777
