Nose_X;Nose_Y;Nose_Z;L_eye_inner_X;L_eye_inner_Y;L_eye_inner_Z;L_eye_X;L_eye_Y;L_eye_Z;L_eye_outer_X;L_eye_outer_Y;L_eye_outer_Z;R_eye_inner_X;R_eye_inner_Y;R_eye_inner_Z;R_eye_X;R_eye_Y;R_eye_Z;R_eye_outer_X;R_eye_outer_Y;R_eye_outer_Z;L_ear_X;L_ear_Y;L_ear_Z;R_ear_X;R_ear_Y;R_ear_Z;L_mouth_X;L_mouth_Y;L_mouth_Z;R_mouth_X;R_mouth_Y;R_mouth_Z;L_shoulder_X;L_shoulder_Y;L_shoulder_Z;R_shoulder_X;R_shoulder_Y;R_shoulder_Z;L_elbow_X;L_elbow_Y;L_elbow_Z;R_elbow_X;R_elbow_Y;R_elbow_Z;L_wrist_X;L_wrist_Y;L_wrist_Z;R_wrist_X;R_wrist_Y;R_wrist_Z;L_pinky_X;L_pinky_Y;L_pinky_Z;R_pinky_X;R_pinky_Y;R_pinky_Z;L_index_X;L_index_Y;L_index_Z;R_index_X;R_index_Y;R_index_Z;L_thumb_X;L_thumb_Y;L_thumb_Z;R_thumb_X;R_thumb_Y;R_thumb_Z;L_hip_X;L_hip_Y;L_hip_Z;R_hip_X;R_hip_Y;R_hip_Z;L_knee_X;L_knee_Y;L_knee_Z;R_knee_X;R_knee_Y;R_knee_Z;L_ankle_X;L_ankle_Y;L_ankle_Z;R_ankle_X;R_ankle_Y;R_ankle_Z;L_heel_X;L_heel_Y;L_heel_Z;R_heel_X;R_heel_Y;R_heel_Z;L_halux_X;L_halux_Y;L_halux_Z;R_halux_X;R_halux_Y;R_halux_Z
-77,76360994;15,4842237;142,8710969;-77,36299557;16,91890058;145,5272811;-77,23847083;17,93427905;145,6891477;-77,41820446;18,95366195;145,738508;-77,35994862;14,36608153;145,8212327;-77,5221086;13,3787209;146,1234831;-77,37125671;12,33451477;146,4845602;-79,82545554;20,39636627;146,4490827;-79,13149212;10,91459257;147,8993672;-79,10908287;16,87394676;141,1050408;-79,19938134;13,83748325;141,3014109;-87,38937188;30,13540173;133,9519815;-83,86149487;-0,110238358;137,1310653;-92,1597242;45,80233825;117,4858172;-89,62072208;-17,21323579;121,4698532;-85,5888787;33,18981525;106,6714921;-83,60650721;-3,094541063;107,5206141;-84,15921934;28,14547527;104,7573844;-83,08124427;1,222318048;105,3641754;-84,80864257;26,30795545;107,1185581;-83,68371019;2,757894596;107,9584918;-84,90916869;27,94579476;107,6131765;-83,99683003;1,740164993;108,7105129;-83,48903124;22,83012277;92,7003629;-81,14366906;6,651267946;93,84017016;-80,82528722;21,75227223;60,2442228;-79,12924808;6,232170315;61,47850878;-80,6286401;20,11582355;32,37465357;-80,40279945;8,420941057;32,7346185;-82,01591888;18,38475477;28,54385559;-82,24197061;10,51873449;28,96784342;-72,28993959;22,17440947;24,79156777;-71,94900857;5,433146881;25,53597484
-77,63454375;15,77188932;142,8457074;-77,1837527;17,20811112;145,4954007;-77,05826974;18,24427072;145,666875;-77,29862786;19,25686916;145,7165871;-77,21188013;14,68336905;145,7748172;-77,49132833;13,69272859;146,0614235;-77,34394175;12,67877142;146,4214367;-79,69174672;20,69879993;146,4400847;-78,88982187;11,22919347;147,8705282;-79,08466457;17,1432833;141,0609313;-79,17423982;14,12002492;141,2530637;-87,3378921;30,33233882;133,9496743;-83,84597708;0,160835768;137,1593438;-92,12843802;46,05324423;117,464791;-89,5525736;-16,98695004;121,5432725;-85,42286443;33,3349793;106,640517;-83,6276528;-3,002980608;107,5437001;-83,94819224;28,30522812;104,7430589;-83,07474253;1,279549341;105,4115423;-84,47773243;26,50317863;107,1331697;-83,70014317;2,80766178;107,9719518;-84,62437211;28,1183006;107,6154448;-84,00407098;1,801330017;108,7163201;-83,48800901;22,95530394;92,70614821;-81,15350878;6,756759249;93,86078582;-81,02182503;21,86327745;60,17988263;-78,98468266;6,311496472;61,56089774;-80,56952494;20,17018903;32,32563618;-80,37879249;8,415592476;32,74882935;-81,95776974;18,43418053;28,4940417;-82,22211806;10,50959717;28,96529165;-72,21695692;22,20074483;24,79829317;-71,89602849;5,42532559;25,56571022
-77,5237396;16,04409868;142,8262179;-77,01147073;17,49984311;145,4729087;-76,91273627;18,5542409;145,6465777;-77,20299627;19,55410104;145,6974007;-77,08911506;14,99258415;145,7348381;-77,47298025;13,99545862;146,0086021;-77,35873664;13,01233364;146,3631994;-79,57552881;21,00301658;146,4293874;-78,68579007;11,53955927;147,8411997;-79,07160828;17,40703551;141,0221131;-79,1510793;14,39309859;141,2129781;-87,28672049;30,54124391;133,9446064;-83,83998281;0,44870794;137,1878475;-92,08312424;46,32432902;117,4406519;-89,48836947;-16,74878138;121,6301507;-85,26945383;33,47772786;106,5976734;-83,65037533;-2,899293156;107,5701685;-83,76496352;28,45547035;104,7120636;-83,07745754;1,340711295;105,4561503;-84,18022221;26,68383495;107,1323859;-83,72521289;2,860840417;107,9867374;-84,37828683;28,27386709;107,6008602;-84,01555864;1,866765888;108,7257724;-83,49807033;23,08424811;92,71228487;-81,1979996;6,868449648;93,87977319;-81,20998102;21,97923744;60,11714517;-78,82130012;6,403782722;61,65141265;-80,50498402;20,22107797;32,27375056;-80,34892365;8,412676287;32,7632922;-81,88636588;18,47968911;28,44517473;-82,19808748;10,49938871;28,95934637;-72,15281456;22,22704395;24,80226589;-71,83306452;5,420694609;25,59874
-77,42537928;16,29831292;142,8120099;-76,8532143;17,78586398;145,4580995;-76,80237559;18,8536254;145,6282546;-77,1252747;19,83814319;145,6816563;-76,9908309;15,28667847;145,7003076;-77,45642447;14,28349218;145,9649689;-77,39774075;13,32748424;146,3109623;-79,47161003;21,3008134;146,4175908;-78,52389335;11,84001655;147,8099687;-79,05645392;17,662328;140,990536;-79,11835111;14,65611191;141,1814029;-87,23691273;30,76224587;133,9367296;-83,83828725;0,744080633;137,2163439;-92,02703831;46,60559454;117,4089401;-89,44725733;-16,5040835;121,7285937;-85,13981717;33,61807792;106,5433526;-83,67785793;-2,784591549;107,5987082;-83,61706062;28,59662815;104,6655299;-83,09463194;1,404616867;105,4976182;-83,92833744;26,85071697;107,1158757;-83,7605401;2,916343542;108,003393;-84,17912924;28,41536446;107,5713745;-84,03226374;1,935237996;108,7396364;-83,51308792;23,21670419;92,71920173;-81,27441487;6,985281849;93,896466;-81,39000608;22,09739395;60,05386116;-78,64418279;6,506835188;61,7434293;-80,44134146;20,26800304;32,22112148;-80,312894;8,413891503;32,77819022;-81,80624023;18,52123626;28,39912173;-82,17185939;10,48948422;28,95076955;-72,10305628;22,25427435;24,80138417;-71,76342392;5,421982971;25,63321821
-77,33165066;16,53648751;142,8019552;-76,71133152;18,061206;145,4485893;-76,71981842;19,13639435;145,6120997;-77,05669643;20,10570717;145,66977;-76,91000195;15,56324689;145,6696267;-77,430663;14,55707373;145,9290785;-77,43972912;13,62171896;146,2649804;-79,37285869;21,58726897;146,4055702;-78,40149667;12,12818543;147,7759258;-79,02574845;17,90929151;140,9671845;-79,06713944;14,91167655;141,1574715;-87,1875168;30,99535341;133,9263657;-83,83677797;1,038077785;137,2444077;-91,96523936;46,88701039;117,3650471;-89,44503215;-16,25719013;121,8376219;-85,03881803;33,75706539;106,4794142;-83,71700213;-2,66248923;107,6274565;-83,50690466;28,73025434;104,6064145;-83,1320096;1,469291335;105,5352145;-83,72768374;27,00692133;107,0847359;-83,80932101;2,972602163;108,0218133;-84,02835196;28,54743251;107,5301044;-84,05859495;2,004751598;108,757784;-83,53043577;23,35294943;92,72673218;-81,37696279;7,105714559;93,9107562;-81,56356847;22,21484798;59,98851666;-78,456787;6,618650769;61,83196786;-80,38413058;20,30995869;32,17131595;-80,27114384;8,420893415;32,7944183;-81,72342002;18,55830343;28,35851487;-82,14667752;10,48116638;28,94145851;-72,07417604;22,28196451;24,79342769;-71,69069391;5,432606224;25,66750043
-77,23589399;16,76342541;142,7943112;-76,58384304;18,32456712;145,4415634;-76,65376723;19,4013392;145,5978423;-76,98888489;20,35726782;145,6612683;-76,83610588;15,82408531;145,6409364;-77,38633261;14,81925981;145,8986903;-77,4652385;13,89709218;146,2247251;-79,27314508;21,860605;146,3938996;-78,30959414;12,40469574;147,7394032;-78,97089085;18,14990834;140,9515169;-78,99382997;15,16363022;141,1394057;-87,1352625;31,23907452;133,913866;-83,83291963;1,323575967;137,271561;-91,90266003;47,15954114;117,3059231;-89,49061079;-16,0117371;121,9575006;-84,96389369;33,89551903;106,4090856;-83,77689983;-2,538824446;107,6546256;-83,43141187;28,85790086;104,5391078;-83,19480404;1,531654751;105,5673811;-83,57705119;27,15589091;107,0414451;-83,87531421;3,02762014;108,0409103;-83,92084848;28,67447329;107,4809106;-84,10087876;2,072925694;108,7791326;-83,55107579;23,49284906;92,7340294;-81,49696338;7,227686999;93,92277951;-81,7321699;22,32889807;59,92106432;-78,26059884;6,737585734;61,91478536;-80,33728839;20,34583451;32,12826151;-80,22487514;8,435172964;32,81327651;-81,64448312;18,59025656;28,32580137;-82,1265367;10,47558387;28,93379585;-72,0709843;22,30885597;24,77700399;-71,61730812;5,456283563;25,70089073
-77,13513191;16,98451416;142,7869298;-76,46659728;18,57737846;145,4342149;-76,59369388;19,65097782;145,5844688;-76,91650542;20,59592753;145,6546851;-76,7590036;16,07327827;145,6126013;-77,31791448;15,07398405;145,8715257;-77,46103714;14,15809483;146,1892696;-79,16974374;22,1211647;146,3825086;-78,23623628;12,67171673;147,7021243;-78,89139424;18,38642468;140,9413747;-78,90134148;15,41475046;141,1248877;-87,07612123;31,48939744;133,8990962;-83,82592491;1,595412894;137,2973866;-91,84237902;47,41598189;117,2312675;-89,58540852;-15,77150989;122,0891436;-84,90672895;34,03300709;106,3364375;-83,86571269;-2,420469126;107,6793231;-83,38343573;28,98008765;104,4685424;-83,28619764;1,587658816;105,5919084;-83,47010577;27,29952058;106,9895445;-83,96121679;3,079144626;108,0586818;-83,84703922;28,79891757;107,427912;-84,16482433;2,137456172;108,8019725;-83,57791146;23,63494279;92,73983499;-81,62373535;7,348794178;93,93267568;-81,89621171;22,43737931;59,85287206;-78,0557042;6,862131082;61,99230979;-80,30278288;20,37488322;32,09495795;-80,17568765;8,458084425;32,83611763;-81,5753853;18,6168391;28,30232805;-82,1152827;10,47400681;28,92985609;-72,094166;22,33359794;24,75233662;-71,54353651;5,496426555;25,73405518
-77,03114331;17,20362279;142,7776417;-76,35582831;18,8219811;145,4241919;-76,53299645;19,88945104;145,570408;-76,83829354;20,82556153;145,6479351;-76,67248582;16,31468189;145,5835218;-77,22554593;15,32383396;145,8457548;-77,4227867;14,4089931;146,157613;-79,06403491;22,36993309;146,3707225;-78,17112902;12,93093099;147,666543;-78,79511248;18,61994492;140,9334466;-78,79867911;15,66512431;141,1114473;-87,00773429;31,73964867;133,8812211;-83,81669815;1,849885346;137,3216744;-91,78497911;47,65135266;117,143693;-89,72538323;-15,54098662;122,2327636;-84,85701659;34,16732989;106,2654143;-83,98724804;-2,313622491;107,7021042;-83,35416016;29,09569895;104,3989911;-83,40569988;1,633050709;105,6066533;-83,39806637;27,43705987;106,9329439;-84,06700563;3,125011401;108,0727292;-83,79597899;28,9203843;107,3748404;-84,25293789;2,196579421;108,8246006;-83,61345143;23,77605728;92,74298544;-81,74628105;7,466613952;93,94061424;-82,05492334;22,53881831;59,78597186;-77,84202383;6,990467227;62,06658114;-80,28065714;20,39703976;32,07253573;-80,12486634;8,490973709;32,86420888;-81,52043457;18,63848576;28,28779898;-82,1156328;10,47820058;28,93085864;-72,13941096;22,35514708;24,72143782;-71,46748696;5,555611354;25,76887856
-76,93014249;17,42174714;142,7646329;-76,25013608;19,0596857;145,409914;-76,46987098;20,12016549;145,5540329;-76,75650713;21,04884337;145,6389446;-76,5765389;16,54979693;145,5531483;-77,11589512;15,56843107;145,8200819;-77,35549372;14,6516584;146,1287804;-78,9605324;22,60718339;146,357636;-78,10931338;13,18183352;147,6347671;-78,69571203;18,84967175;140,9241585;-78,69922581;15,9117282;141,0968256;-86,93096993;31,98145636;133,8591194;-83,80746679;2,08420965;137,3446566;-91,72924145;47,86263094;117,0478569;-89,9042177;-15,32514284;122,3864336;-84,80652942;34,29458328;106,1987541;-84,13890592;-2,222377309;107,7249233;-83,3352556;29,20195063;104,3330576;-83,54809757;1,66455649;105,6104474;-83,3520785;27,56510184;106,8750508;-84,18907115;3,163580922;108,0811229;-83,75818322;29,03585268;107,324334;-84,36311245;2,249359145;108,8460885;-83,65794064;23,91168179;92,7428825;-81,85517908;7,579034155;93,94698651;-82,20690452;22,6323227;59,72215783;-77,62082115;7,1200738;62,13974472;-80,26942083;20,4129529;32,06006278;-80,07248157;8,535325201;32,89886246;-81,48170792;18,65624967;28,28031131;-82,12835285;10,49062216;28,93708619;-72,19850825;22,37282576;24,68761677;-71,38598518;5,635601154;25,80786835
-76,84160153;17,63664619;142,74665;-76,15162688;19,28947102;145,3906587;-76,40670437;20,34407699;145,5341557;-76,67582654;21,265935;145,6261925;-76,47797539;16,7767144;145,5212639;-77,00171908;15,80395054;145,7935642;-77,27194581;14,88455715;146,1017636;-78,86520469;22,83181966;146,3425743;-78,05242961;13,42104098;147,6077211;-78,6089273;19,0729267;140,9106365;-78,61831224;16,14911456;141,0792907;-86,84948333;32,2066566;133,832262;-83,80110449;2,296400967;137,3672593;-91,67377324;48,04810174;116,9489957;-90,11566234;-15,12862722;122,5454892;-84,75173476;34,40972599;106,1373455;-84,31195259;-2,148149252;107,7506266;-83,32018787;29,29496306;104,2713897;-83,70362501;1,681021617;105,6038483;-83,32458475;27,67856506;106,8181517;-84,32061341;3,194128107;108,0833856;-83,72727742;29,14064449;107,277481;-84,48903522;2,295705616;108,8670007;-83,70872457;24,0369743;92,73972427;-81,94399408;7,684461399;93,95256824;-82,35083195;22,71734262;59,66247434;-77,39597414;7,247718119;62,21275604;-80,26665352;20,42375168;32,05510796;-80,01661132;8,592882577;32,94160436;-81,45895985;18,67139416;28,27693294;-82,15168396;10,51425181;28,94818031;-72,26171763;22,3862723;24,65462907;-71,29553641;5,73821532;25,85348039
